# t Fx Fy Fz
0.241 2.42547600725048e-08 2.42603266613171e-08 1.11379332576928e-05
0.242 2.42279050952074e-08 2.42334715510094e-08 1.1137607361351e-05
0.243 2.4201294167023e-08 2.4206860512928e-08 1.11372860098675e-05
0.244 2.41749250106287e-08 2.41804912449572e-08 1.11369691527944e-05
0.245 2.4148794812838e-08 2.41543609570608e-08 1.11366567190716e-05
0.246 2.41229050243871e-08 2.41284710589738e-08 1.11363486120581e-05
0.247 2.40972532665924e-08 2.41028192094946e-08 1.11360448073364e-05
0.248 2.40718346019997e-08 2.40774004895848e-08 1.11357452016858e-05
0.249 2.40466506369506e-08 2.40522164805701e-08 1.11354497745566e-05
0.25 2.40217011322375e-08 2.40272668932871e-08 1.11351584142919e-05
0.251 2.39969831863151e-08 2.40025489032902e-08 1.11348711007591e-05
0.252 2.39724922076266e-08 2.39780578954953e-08 1.11345877556708e-05
0.253 2.39482324860007e-08 2.39537981329204e-08 1.11343083290947e-05
0.254 2.39241990889285e-08 2.3929764710724e-08 1.11340327513412e-05
0.255 2.39003929618872e-08 2.39059585292246e-08 1.1133760979395e-05
0.256 2.38768075561211e-08 2.38823731269827e-08 1.11334929375847e-05
0.257 2.3853447434575e-08 2.38590129455969e-08 1.11332285972787e-05
0.258 2.38303071271276e-08 2.38358726475352e-08 1.11329678758082e-05
0.259 2.38073850133787e-08 2.3812950525387e-08 1.11327107389493e-05
0.26 2.37846820121849e-08 2.37902475501771e-08 1.1132457112532e-05
0.261 2.37621949158072e-08 2.37677604559949e-08 1.11322069763224e-05
0.262 2.37399226507119e-08 2.37454881959826e-08 1.11319602404403e-05
0.263 2.37178636132785e-08 2.37234291270259e-08 1.11317168819073e-05
0.264 2.3696015144041e-08 2.37015806768077e-08 1.11314768634648e-05
0.265 2.36743784361518e-08 2.36799440098069e-08 1.11312401001734e-05
0.266 2.36529496641102e-08 2.36585152336611e-08 1.11310065627303e-05
0.267 2.36317286479267e-08 2.36372942363355e-08 1.11307762243001e-05
0.268 2.36107119938189e-08 2.36162776363955e-08 1.11305489951461e-05
0.269 2.35898994484696e-08 2.35954651180501e-08 1.1130324872964e-05
0.27 2.35692889718639e-08 2.35748546823273e-08 1.11301037684768e-05
0.271 2.35488801912029e-08 2.3554445890622e-08 1.11298856726709e-05
0.272 2.35286691617202e-08 2.35342349334575e-08 1.11296705480248e-05
0.273 2.35086563297585e-08 2.35142221670497e-08 1.11294583086572e-05
0.274 2.3488840360519e-08 2.34944061995055e-08 1.11292489511846e-05
0.275 2.34692175404207e-08 2.34747834463357e-08 1.11290424317537e-05
0.276 2.34497886616634e-08 2.34553546395911e-08 1.11288386860696e-05
0.277 2.34305509406499e-08 2.34361169829037e-08 1.11286377026968e-05
0.278 2.34115031322618e-08 2.34170692344804e-08 1.11284394112476e-05
0.279 2.33926434646318e-08 2.33982096127795e-08 1.11282437924547e-05
0.28 2.33739697543331e-08 2.33795359702119e-08 1.11280508200079e-05
0.281 2.33554848077009e-08 2.33610510755123e-08 1.11278604294187e-05
0.282 2.33371814133736e-08 2.33427477401347e-08 1.11276725908798e-05
0.283 2.33190598468619e-08 2.33246262628662e-08 1.11274872920848e-05
0.284 2.33011197011953e-08 2.33066862013443e-08 1.11273044520103e-05
0.285 2.32833592723273e-08 2.3288925809066e-08 1.11271240773618e-05
0.286 2.32657759972877e-08 2.32713426189991e-08 1.11269461153035e-05
0.287 2.32483690955071e-08 2.32539357933776e-08 1.11267705337235e-05
0.288 2.32311369245078e-08 2.32367037008163e-08 1.11265972981846e-05
0.289 2.32140780244411e-08 2.32196448810749e-08 1.11264263766345e-05
0.29 2.31971909618056e-08 2.32027578993923e-08 1.11262577354281e-05
0.291 2.31804741921705e-08 2.31860412130575e-08 1.1126091343553e-05
0.292 2.31639263328794e-08 2.31694934372203e-08 1.11259271680064e-05
0.293 2.31475439381352e-08 2.31531111623373e-08 1.1125765184165e-05
0.294 2.31313311562521e-08 2.31368984142288e-08 1.11256053388075e-05
0.295 2.31152803089387e-08 2.31208477184095e-08 1.11254476285365e-05
0.296 2.30993926370174e-08 2.31049601031345e-08 1.11252920190171e-05
0.297 2.30836683573193e-08 2.30892359211206e-08 1.11251384698708e-05
0.298 2.30681037666865e-08 2.30736714098698e-08 1.11249869736223e-05
0.299 2.30526970836442e-08 2.30582648291813e-08 1.11248374516029e-05
0.3 2.30374473750613e-08 2.30430152363481e-08 1.11246899444146e-05
0.301 2.30223542966024e-08 2.30279222236888e-08 1.11245443664968e-05
0.302 2.3007415154431e-08 2.30129831862492e-08 1.11244007198091e-05
0.303 2.29926305848873e-08 2.2998198711583e-08 1.11242589828445e-05
0.304 2.29779982551672e-08 2.29835664312286e-08 1.1124119113172e-05
0.305 2.29635153230066e-08 2.29690836224811e-08 1.11239810866623e-05
0.306 2.2949180324411e-08 2.29547487207728e-08 1.11238448726888e-05
0.307 2.29349945533503e-08 2.29405630519879e-08 1.11237104650962e-05
0.308 2.29209546743872e-08 2.29265232704963e-08 1.11235778254777e-05
0.309 2.29070587715885e-08 2.29126274679727e-08 1.11234469472063e-05
0.31 2.28933076969639e-08 2.28988764944107e-08 1.11233177580061e-05
0.311 2.28796997017315e-08 2.28852685779759e-08 1.11231902914288e-05
0.312 2.28662314402653e-08 2.2871800433311e-08 1.11230644996243e-05
0.313 2.28529025688521e-08 2.28584716580883e-08 1.11229403792485e-05
0.314 2.28397143724525e-08 2.28452835474196e-08 1.11228178366086e-05
0.315 2.28266607872069e-08 2.28322300940949e-08 1.11226969359871e-05
0.316 2.28137446678732e-08 2.28193140216821e-08 1.11225776115407e-05
0.317 2.28009626210131e-08 2.28065321170022e-08 1.11224598582866e-05
0.318 2.27883124923633e-08 2.27938820694826e-08 1.1122343645556e-05
0.319 2.27757964994313e-08 2.27813661914435e-08 1.11222289391827e-05
0.32 2.27634120248327e-08 2.27689817798296e-08 1.112211575508e-05
0.321 2.27511549277581e-08 2.27567248183812e-08 1.1122004026845e-05
0.322 2.27390270580486e-08 2.27445970359239e-08 1.11218937746462e-05
0.323 2.27270267671533e-08 2.27325968380705e-08 1.11217849558689e-05
0.324 2.27151515449451e-08 2.27207217249177e-08 1.11216775601267e-05
0.325 2.27033996603712e-08 2.27089699599954e-08 1.11215715793846e-05
0.326 2.26917757614991e-08 2.26973461260811e-08 1.11214669515782e-05
0.327 2.26802709234118e-08 2.2685841419801e-08 1.11213637081287e-05
0.328 2.26688885605368e-08 2.26744590945573e-08 1.11212617873399e-05
0.329 2.26576253557758e-08 2.26631960322378e-08 1.11211611922949e-05
0.33 2.26464806531498e-08 2.26520514394277e-08 1.11210619419388e-05
0.331 2.26354548841567e-08 2.26410257521714e-08 1.11209639746295e-05
0.332 2.26245442056767e-08 2.2630115169506e-08 1.11208672327723e-05
0.333 2.26137504998371e-08 2.26193215582043e-08 1.11207717847321e-05
0.334 2.26030693117925e-08 2.2608640481916e-08 1.11206775885932e-05
0.335 2.25925048479058e-08 2.25980760725346e-08 1.11205845785601e-05
0.336 2.25820490410397e-08 2.2587620416816e-08 1.11204928057097e-05
0.337 2.25717051666669e-08 2.25772765991102e-08 1.11204021941947e-05
0.338 2.25614716181136e-08 2.25670431713337e-08 1.1120312761498e-05
0.339 2.25513466441708e-08 2.25569183054939e-08 1.11202245085711e-05
0.34 2.25413283392096e-08 2.25469000768328e-08 1.11201374062252e-05
0.341 2.25314182055825e-08 2.25369900380073e-08 1.1120051368949e-05
0.342 2.25216129333698e-08 2.25271848484803e-08 1.11199665235074e-05
0.343 2.25119149439624e-08 2.25174869560873e-08 1.11198826972102e-05
0.344 2.2502316582801e-08 2.25078887078151e-08 1.11198000057599e-05
0.345 2.24928220979319e-08 2.24983943251293e-08 1.11197183682943e-05
0.346 2.24834284372724e-08 2.24890007567873e-08 1.11196377741985e-05
0.347 2.24741379147304e-08 2.24797103120985e-08 1.11195582248595e-05
0.348 2.24649455757888e-08 2.24705180656196e-08 1.11194797162033e-05
